,Asset,Weight
1,LIGT3,-0.0
1,ACES4,-0.0
1,CSTB4,1.37
1,CLSC4,-0.0
1,AMBV4,0.07
1,ERIC4,0.31
1,BBAS4,0.13
1,BRDT4,-0.16
1,BESP4,-0.72
1,OIBR4,0.0
2,AMBV4,0.2
2,KLBN4,-0.57
2,UNIP6,0.13
2,CSNA3,-0.2
2,BRDT4,0.01
2,WHMT3,-0.0
2,VCPA4,0.01
2,ELET3,0.0
2,CESP5,-0.01
2,CSTB4,1.41
3,OIBR4,0.0
3,ACES4,0.0
3,TMAR6,-0.0
3,CMIG3,-0.11
3,AMBV4,-0.04
3,INEP4,-0.0
3,BMTO4,-0.1
3,BBAS4,1.24
3,PALF3,0.0
3,DURA4,0.0
4,CESP5,0.0
4,TMAR6,-0.0
4,AMBV4,0.01
4,INEP4,-0.0
4,EBEN4,0.72
4,TPRC6,-0.05
4,BBDC4,-0.0
4,TSPC3,-0.06
4,PETR4,-0.0
4,BBAS4,0.38
5,INEP4,-0.0
5,RCTB41,0.97
5,BRKM5,-0.03
5,BMTO4,0.12
5,CSTB4,0.63
5,CMIG3,-0.0
5,VALE5,0.02
5,ELET3,-0.01
5,TSPC6,-0.69
5,LIGT3,0.0
6,VIVO4,-0.0
6,CSNA3,0.93
6,TCSL4,0.05
6,VCPA4,0.01
6,TNLP3,-0.0
6,ELET6,-0.03
6,NETC4,0.0
6,VALE5,-0.2
6,EMBR4,0.02
6,BBDC4,0.23
7,KLBN4,-0.38
7,TNLP3,-0.0
7,BESP4,-0.88
7,PTIP4,0.0
7,ELET3,-0.0
7,TNLP4,0.0
7,EGIE3,0.03
7,VIVT4,-0.0
7,EBTP3,2.23
7,TCOC4,-0.0
8,TMCP4,-0.0
8,PETR4,-0.01
8,BRKM5,0.0
8,INEP4,-0.0
8,ARCZ6,0.0
8,NETC4,-0.0
8,TNLP3,0.0
8,CESP5,0.0
8,CSTB4,1.02
8,GGBR4,-0.01
9,CESP5,-0.01
9,CMIG3,0.12
9,AMBV4,-0.08
9,KLBN4,1.11
9,EGIE3,-0.17
9,VALE5,0.09
9,EMBR3,0.02
9,TMCP4,0.0
9,PETR3,-0.08
9,TNLP3,-0.01
10,CRTP5,0.0
10,GGBR4,0.06
10,VIVT4,-0.01
10,TNLP3,0.0
10,SBSP3,-0.01
10,TNLP4,-0.0
10,AMBV4,-0.09
10,BRTP4,0.0
10,ARCZ6,-0.01
10,BBAS4,1.06
11,EMBR3,0.0
11,CRUZ3,0.0
11,TMAR5,-0.0
11,EBTP4,1.19
11,ARCZ6,-0.0
11,CESP5,-0.0
11,PTIP4,-0.0
11,CSTB4,-0.2
11,TIMS3,-0.0
11,USIM5,0.0
12,OIBR4,0.01
12,TIMS3,3.97
12,CESP5,0.79
12,EGIE3,-1.46
12,VALE5,0.69
12,PETR4,1.27
12,TCSL4,-1.16
12,ITUB4,-9.01
12,CSNA3,5.87
12,VCPA4,0.03
13,EBTP3,0.99
13,ELET6,-0.0
13,TMAR5,0.0
13,OIBR4,0.0
13,USIM5,-0.0
13,CPLE6,0.01
13,CESP5,-0.0
13,CSNA3,0.01
13,KLBN4,-0.0
13,EMBR3,-0.0
14,TRPL4,0.01
14,EGIE3,-0.0
14,EMBR3,0.0
14,EMBR4,-0.0
14,BRTP3,-0.0
14,GGBR4,-0.0
14,CPLE6,-0.01
14,TMCP4,-0.0
14,EBTP4,1.02
14,CSTB4,-0.01
15,EBTP4,1.24
15,ELET6,-0.01
15,CRUZ3,0.01
15,ACES4,-0.0
15,CPLE6,-0.28
15,CESP5,0.02
15,BRKM5,-0.0
15,NETC4,-0.0
15,CSNA3,0.01
15,VCPA4,0.0
16,TMAR5,-0.02
16,ACES4,0.03
16,VCPA4,-0.0
16,BBDC4,0.91
16,TMCP4,-0.05
16,TIMS3,0.14
16,TNLP4,-0.12
16,CGAS5,-0.32
16,TLCP4,0.03
16,SBSP3,0.41
17,TCSL4,-0.09
17,ARCZ6,0.03
17,KLBN4,0.86
17,BBDC4,0.35
17,EMBR3,0.28
17,TMCP4,-0.03
17,EMBR4,-0.16
17,TNLP3,-0.0
17,SBSP3,-0.2
17,NETC4,-0.04
18,ARCZ6,-0.0
18,EBTP4,0.99
18,SDIA4,-0.0
18,TMCP4,0.0
18,CPLE6,-0.0
18,USIM5,0.0
18,CRUZ3,-0.01
18,AMBV4,0.02
18,UBBR11,-0.0
18,BBDC4,0.0
19,BRAP4,0.51
19,CRUZ3,0.61
19,PCAR4,0.04
19,TCSL4,-0.31
19,CPLE6,1.04
19,TIMS3,-1.19
19,BRTP3,0.19
19,CYRE3,0.59
19,GGBR4,-0.35
19,ELET6,-0.13
20,TAMM4,0.05
20,AMBV4,2.64
20,CSAN3,0.64
20,CRUZ3,-1.79
20,SUBA3,0.09
20,TMAR5,0.16
20,GGBR4,0.03
20,CSNA3,0.48
20,ELET6,-0.29
20,LIGT3,-1.03
21,OIBR4,0.0
21,SDIA4,-0.02
21,TMAR5,-0.0
21,ELET6,-0.05
21,NETC4,0.02
21,ALLL11,-0.01
21,VIVO4,-0.0
21,AMBV4,-0.18
21,BNCA3,0.01
21,KLBN4,1.23
22,UGPA4,0.05
22,BRKM5,-0.18
22,GGBR4,0.0
22,SBSP3,-0.11
22,VALE5,0.01
22,BRTP3,-0.03
22,VCPA4,-0.01
22,TNLP3,0.02
22,KLBN4,1.1
22,JBSS3,0.15
23,GFSA3,0.0
23,USIM5,-0.11
23,TMAR5,-0.1
23,TNLP3,0.0
23,AMER3,-0.01
23,ELET6,0.99
23,CMIG4,-0.32
23,PETR4,0.12
23,PCAR4,-0.03
23,TRPL4,0.44
24,OIBR4,0.01
24,RSID3,-0.0
24,CPLE6,-3.39
24,CESP6,-0.34
24,CCRO3,1.51
24,KLBN4,3.04
24,TAMM4,-0.11
24,RDCD3,0.07
24,ARCZ6,0.35
24,CSNA3,-0.14
25,SBSP3,-0.39
25,PETR4,-0.23
25,RDCD3,-0.01
25,CMIG4,0.92
25,RSID3,0.0
25,ITUB4,0.85
25,TMAR5,-0.04
25,CCRO3,-0.09
25,GOLL4,-0.06
25,EMBR3,0.05
26,VIVT4,0.0
26,LIGT3,0.03
26,BBAS3,-0.06
26,NTCO3,-0.01
26,TNLP3,-0.0
26,MMXM3,-0.0
26,KLBN4,1.06
26,RSID3,0.0
26,CMIG4,0.02
26,ELET6,-0.03
27,TNLP4,0.59
27,MRFG3,-0.15
27,LAND3,0.03
27,CRUZ3,0.97
27,RSID3,-0.01
27,CSAN3,1.09
27,TRPL4,-1.13
27,BBDC4,-0.89
27,TIMS3,0.67
27,VIVO4,-0.17
28,MMXM3,0.0
28,CCRO3,1.56
28,CSNA3,-0.72
28,NTCO3,-0.23
28,USIM5,0.23
28,BISA3,-0.15
28,RSID3,0.01
28,ELPL4,0.04
28,GGBR4,0.52
28,ELET6,-0.26
29,CPFE3,0.33
29,ELPL4,-0.07
29,BRAP4,0.88
29,GGBR4,0.36
29,GOAU4,-0.49
29,MRVE3,0.12
29,HYPE3,-0.09
29,USIM3,0.04
29,TRPL4,-0.07
29,GOLL4,-0.02
30,BRML3,0.0
30,PETR4,0.31
30,USIM5,-0.0
30,PCAR4,0.01
30,CIEL3,-0.36
30,TIMS3,0.03
30,LAME4,1.46
30,MRVE3,-0.45
30,OGXP3,-0.0
30,FIBR3,-0.0
31,OGXP3,-0.0
31,SBSP3,-0.63
31,CESP6,0.34
31,BRML3,0.29
31,BRAP4,-0.29
31,LAND3,-0.0
31,EMBR3,0.09
31,BBAS3,-0.19
31,LREN3,1.42
31,CRUZ3,-0.03
32,PDGR3,-0.0
32,BRFS3,-0.04
32,MRFG3,-0.07
32,SANB11,0.27
32,KLBN4,1.18
32,AMER3,-0.04
32,BRAP4,-0.15
32,ALLL3,-0.15
32,TIMS3,-0.02
32,NTCO3,0.03
33,ENBR3,3.25
33,BRKM5,0.37
33,OIBR4,-0.02
33,CPFE3,-0.47
33,PDGR3,0.0
33,LIGT3,-0.04
33,GFSA3,0.0
33,EMBR3,-0.53
33,BBAS3,-0.31
33,UGPA3,-1.25
34,MMXM3,0.0
34,CPLE6,2.37
34,COGN3,-0.1
34,BRFS3,0.13
34,CTIP3,-0.04
34,BRML3,0.2
34,CSNA3,-0.39
34,CYRE3,-0.19
34,ALLL3,-0.95
34,ECOR3,-0.03
35,PCAR4,2.69
35,CPLE6,13.12
35,COGN3,-2.0
35,BRFS3,0.24
35,ELPL4,-10.01
35,BRPR3,-0.82
35,QUAL3,10.19
35,RSID3,1.24
35,BBDC3,-10.76
35,BRAP4,-2.89
36,GOLL4,0.31
36,BBAS3,-0.28
36,ELET3,-1.16
36,CSAN3,0.41
36,PETR3,0.39
36,BRKM5,0.24
36,RENT3,0.62
36,HGTX3,0.16
36,LREN3,0.64
36,COGN3,-0.35
37,ECOR3,0.38
37,CSAN3,-0.59
37,BRKM5,0.04
37,LREN3,-0.16
37,ENBR3,0.34
37,FIBR3,0.14
37,QUAL3,-0.01
37,NTCO3,0.34
37,UGPA3,0.08
37,TIMS3,0.44
38,RADL3,0.23
38,PETR4,1.59
38,QUAL3,-0.24
38,JBSS3,0.27
38,ECOR3,-0.62
38,ITUB4,-0.68
38,CSAN3,0.51
38,GOAU4,-0.06
38,HYPE3,0.01
38,CESP6,-0.02
39,RENT3,0.77
39,CSNA3,0.37
39,EQTL3,0.95
39,SMLS3,0.01
39,CPLE6,1.41
39,PETR3,-0.75
39,ECOR3,-0.25
39,CMIG4,-0.38
39,CIEL3,-0.39
39,RUMO3,-0.73
40,EGIE3,0.5
40,ITSA4,0.43
40,YDUQ3,0.14
40,BRML3,-0.77
40,BBDC3,-0.37
40,GGBR4,-0.07
40,SUZB5,0.34
40,CCRO3,0.14
40,MRVE3,0.03
40,CYRE3,0.63
41,BRFS3,-0.24
41,ELET3,0.04
41,COGN3,-0.52
41,USIM5,-0.59
41,WEGE3,0.08
41,CYRE3,1.27
41,SBSP3,-0.03
41,KLBN11,1.94
41,HYPE3,-0.21
41,CMIG4,-0.75
42,SANB11,-0.35
42,EGIE3,0.13
42,BRML3,3.3
42,MRFG3,-3.25
42,ENBR3,3.39
42,VIVT4,-0.82
42,HYPE3,-0.8
42,ELET6,0.58
42,VVAR11,0.49
42,CIEL3,-1.67
43,SBSP3,0.04
43,PETR3,0.09
43,QUAL3,-0.18
43,BBDC3,0.01
43,CSAN3,0.75
43,CVCB3,0.03
43,JBSS3,0.36
43,BRFS3,0.04
43,BBAS3,-0.14
43,HYPE3,0.01
44,EMBR3,0.58
44,BRFS3,-0.07
44,PCAR4,0.0
44,SBSP3,0.01
44,UGPA3,0.0
44,VIVT4,-0.18
44,CIEL3,-0.24
44,TAEE11,-0.04
44,GGBR4,0.18
44,CSAN3,0.76
45,RENT3,0.04
45,CMIG4,0.76
45,GOLL4,0.03
45,RAIL3,-0.21
45,UGPA3,0.1
45,MRFG3,0.14
45,SMLS3,-0.06
45,PETR3,0.37
45,COGN3,0.04
45,BBDC3,-0.21
46,CPFE3,0.72
46,CSNA3,-0.02
46,TAEE11,-0.3
46,VBBR3,-0.22
46,GOAU4,0.91
46,ENBR3,-0.15
46,CIEL3,0.55
46,NTCO3,-0.08
46,CMIG4,-0.13
46,MULT3,-0.27
47,CYRE3,-0.07
47,BBSE3,1.04
47,EGIE3,-1.04
47,SBSP3,-0.01
47,SULA11,-0.03
47,ELET6,-0.09
47,GOLL4,0.06
47,UGPA3,0.09
47,BEEF3,0.32
47,CRFB3,0.73
48,AZUL4,-0.29
48,BBSE3,0.14
48,EZTC3,-0.27
48,TIMS3,2.52
48,SBSP3,-0.58
48,FLRY3,0.34
48,KLBN11,-2.06
48,MRFG3,1.42
48,TOTS3,-1.08
48,LWSA3,0.87
49,ENGI11,0.36
49,ELET6,-0.16
49,RDOR3,-0.31
49,MRFG3,-0.94
49,POSI3,1.69
49,TOTS3,0.4
49,BHIA3,0.0
49,SUZB3,0.11
49,AZUL4,-0.52
49,ENEV3,0.39
50,BRFS3,-0.02
50,BRAP4,0.13
50,BRML3,0.72
50,TIMS3,-0.16
50,YDUQ3,-0.46
50,ENEV3,1.2
50,RRRP3,0.1
50,HYPE3,-0.48
50,SBSP3,-0.05
50,B3SA3,0.02
51,PETZ3,0.06
51,ASAI3,-0.19
51,CIEL3,0.54
51,USIM5,0.0
51,FLRY3,-0.34
51,EZTC3,0.53
51,BRML3,0.18
51,BBDC3,-0.52
51,RENT3,-0.13
51,CPLE6,0.86
52,SANB11,0.34
52,IRBR3,-0.01
52,BRML3,-2.25
52,MULT3,-1.02
52,EQTL3,0.09
52,RDOR3,-1.03
52,BRFS3,-0.97
52,CRFB3,2.09
52,EGIE3,1.91
52,BBDC3,1.83
